Newman Library
New Kent/Sussex Ebnd
Grissom/Nellies Cave Nbnd
Marlington/Grissom Wbnd
Marlington/Emerald Wbnd
Marlington/Grayland Wbnd
Main/Landsdowne Nbnd
Main/Ardmore Nbnd
Blacksburg Square
Main/Cohee Nbnd
Main/Sunset Nbnd
Main/Graves Nbnd
Main/Hemlock Nbnd
Main/Eakin Nbnd
Main/Clay Nbnd
Main/Lee Nbnd
Main St Post Office
Main/Hemlock Sbnd
Industrial Park/Transportation Res Ebnd
Prosperity/Industrial Park Nbnd
Professional Park Nbnd
Main/Cedar Pointe Nbnd
Main/S Hill Nbnd
Fairfax Circle
Main/S Hill Sbnd
Main/Cedar Pointe Sbnd
Main/South Park Sbnd
Industrial Park/Transportation Res Wbnd
Main/King Sbnd
Blacksburg Transit
Commerce/Industrial Park Sbnd
Industrial Park/Prosperity Wbnd
Country Club/Main Wbnd
Country Club/Draper Wbnd
Country Club/Airport Wbnd
Airport/Fairview Sbnd
Hubbard/Kennedy Ebnd
Pratt Dr/Garvin Bldg Sbnd
Pratt/Kraft Ebnd
Airport
Pratt Dr/Andrews Bldg Sbnd
Kraft/Tech Center Dr Sbnd
Pratt/Kraft Wbnd
Pratt Dr/Garvin Bldg Nbnd
Pratt Dr/Andrews Bldg Nbnd
Kraft/Research Ctr Ebnd
Research Ctr/Rimrock Sbnd
Research Ctr/Rimrock Nbnd
Research Ctr/N Knollwood Nbnd
Kraft/Knowledgeworks 1 Bldg Sbnd
Kraft/Moss Bldg Sbnd
Research Ctr/S Knollwood Nbnd
Beamer/Southgate Nbd
Research Ctr/Innovation Sbnd
Research Ctr/Innovation Nbnd
Innovation/Smoot Wbnd
Chicken Hill/Southgate Sbnd
Uptown Mall
NRV Theatre
Walmart
LewisGale Hospital Montgomery
Montgomery County Govt Center
Republic/Salem Nbnd
Depot/Cambria Wbnd
Aquatic Center
Depot/New Wbnd
W Main/Dunkley Ebnd
Montgomery County Courthouse
Roanoke/Evans Ebnd
Recreation Center
Simmons/Hammes Nbnd
Exit 118 Park and Ride
Roanoke/Hungate Wbnd
Roanoke/East Wbnd
Roanoke/Craig Wbnd
Roanoke/Evans Wbnd
Christiansburg Town Hall
Roanoke/Roberts Ebnd
Radford/College Ebnd
Electric Way/Fisher St Wbnd
Simpson Rd/Village Ln Wbnd
Electric Way/Fisher St Ebnd
North Franklin/Church Nbnd
Church/Brown Ebnd
Montgomery/Cambria Ebnd
Cambria/Church Nbnd
Cambria/Progress Nbnd
Cambria/Tyler Nbnd
Central/Cambria Wbnd
 stop_name
Central/North Franklin Wbnd
North Franklin/Church Sbnd
Roanoke/First Ebnd
Nugget Ridge Circle
Nugget Ridge/Radford Nbnd
Radford/Quesenberry Ebnd
Radford/Depot Ebnd
Roanoke/Hungate Ebnd
Roanoke/Falling Branch Ebnd
Roanoke/Falling Branch Wbnd
Main/Hickock Wbnd
Radford/College Wbnd
Radford/Bower Wbnd
Depot/Sheltman Ebnd
Conston/Spradlin Farm Wbnd
Farmview/Ridinger Ebnd
Laurel/Sycamore Ebnd
DMV on Arbor
Post Office on Arbor
Arbor/Market
Market/Shoppers Way Sbnd
Shoppers Way Wbnd
Shoppers Way Ebnd
North Franklin/Wades Nbnd
North Franklin/Wades Sbnd
North Franklin/Cambria Nbnd
N Franklin/Graham Sbnd
